WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dingle,PH,10.9995,122.6711,75.47,92,74,4.18,broken clouds
80,Bredasdorp,ZA,-34.5322,20.0403,59.77,75,0,2.82,clear sky
81,Fare,PF,-16.7,-151.0167,77.86,75,67,18.54,broken clouds
82,Newark,US,40.7357,-74.1724,38.41,33,40,26.46,scattered clouds
83,Verkhnyaya Sysert,RU,56.4372,60.75,8.4,74,100,6.58,overcast clouds
84,Broome,US,42.2506,-75.833,29.86,62,100,11.5,overcast clouds
85,Koungou,YT,-12.7336,45.2042,80.31,78,75,4.61,broken clouds
86,Goderich,CA,43.7501,-81.7165,28.9,58,100,20.71,overcast clouds
87,Keetmanshoop,NA,-26.5833,18.1333,86.32,13,100,8.61,overcast clouds
88,Kalmunai,LK,7.4167,81.8167,73.63,87,2,10.42,clear sky
89,Karpathos,GR,35.507,27.2132,67.96,94,100,16.11,overcast clouds
90,Carnarvon,AU,-24.8667,113.6333,69.51,59,0,17.34,clear sky
91,Nurota,UZ,40.5614,65.6886,48.0,77,24,1.81,few clouds
92,Malanje,AO,-9.5402,16.341,65.26,97,100,2.91,moderate rain
93,Formiga,BR,-20.4644,-45.4264,78.03,54,99,1.81,overcast clouds
94,Chokurdakh,RU,70.6333,147.9167,-32.75,100,94,5.28,overcast clouds
95,Weligama,LK,5.9667,80.4167,73.65,82,0,8.16,clear sky
96,Kaitangata,NZ,-46.2817,169.8464,53.67,97,52,2.3,broken clouds
97,Berlevag,NO,70.8578,29.0864,35.6,80,100,11.5,overcast clouds
98,Vaini,TO,-21.2,-175.2,69.96,100,75,0.0,broken clouds
99,Avarua,CK,-21.2078,-159.775,75.25,64,75,10.36,broken clouds
100,Upernavik,GL,72.7868,-56.1549,13.77,94,100,14.34,overcast clouds
101,Laguna,US,38.421,-121.4238,64.09,51,0,5.75,clear sky
102,Rio Gallegos,AR,-51.6226,-69.2181,64.45,20,75,26.46,broken clouds
103,Ukiah,US,39.1502,-123.2078,61.65,28,8,0.92,clear sky
104,Gualaquiza,EC,-3.4,-78.55,79.14,62,78,2.66,light rain
105,Ciudad Bolivar,VE,8.1222,-63.5497,87.82,52,63,8.5,broken clouds
