City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bulalacao,PH,2022-11-18 18:18:45,12.3254,121.3435,79.43,83,100,17.29
68,Bengkulu,ID,2022-11-18 18:18:45,-3.8004,102.2655,75.52,90,100,7.4
69,Ahipara,NZ,2022-11-18 18:18:46,-35.1667,173.1667,60.98,92,23,13.67
70,Hobart,AU,2022-11-18 18:16:38,-42.8794,147.3294,53.46,87,100,5.75
71,Lagoa,PT,2022-11-18 18:18:46,39.05,-27.9833,62.17,67,84,10.76
72,Paamiut,GL,2022-11-18 18:18:47,61.994,-49.6678,23.27,79,99,4.94
73,Qaqortoq,GL,2022-11-18 18:18:47,60.7167,-46.0333,18.93,86,94,2.75
74,Port Alfred,ZA,2022-11-18 18:18:47,-33.5906,26.891,65.17,94,90,13.29
75,Santa Rosa,PH,2022-11-18 18:18:48,14.3122,121.1114,80.02,82,89,11.25
76,Kihei,US,2022-11-18 18:15:46,20.785,-156.4656,79.84,72,0,0.0
77,Gaomi,CN,2022-11-18 18:18:48,36.3833,119.7528,53.64,74,100,3.8
78,Kavieng,PG,2022-11-18 18:14:58,-2.5744,150.7967,80.71,73,100,8.88
79,Bara,NG,2022-11-18 18:18:49,10.3744,10.7288,80.31,24,16,6.96
80,Ostrovnoy,RU,2022-11-18 18:18:49,68.0531,39.5131,30.07,86,97,4.29
81,Atuona,PF,2022-11-18 18:15:20,-9.8,-139.0333,77.18,74,7,9.22
82,Maumere,ID,2022-11-18 18:18:50,-8.6199,122.2111,81.14,79,100,8.08
83,Leua,SK,2022-11-18 18:18:50,48.2156,18.6071,45.5,86,100,5.91
84,Celestun,MX,2022-11-18 18:18:50,20.8667,-90.4,83.08,61,55,11.16
85,Chinsali,ZM,2022-11-18 18:18:51,-10.5414,32.0816,76.01,42,48,6.71
86,Puri,IN,2022-11-18 18:18:51,19.8,85.85,68.52,58,66,10.69
87,Anchorage,US,2022-11-18 18:16:23,61.2181,-149.9003,33.91,87,0,5.01
88,Floresta,BR,2022-11-18 18:18:51,-8.6011,-38.5686,93.88,25,59,2.55
89,Stephenville Crossing,CA,2022-11-18 18:15:32,48.5,-58.4318,35.73,87,75,23.02
90,Maniitsoq,GL,2022-11-18 18:18:52,65.4167,-52.9,25.48,69,100,8.37
91,Richards Bay,ZA,2022-11-18 18:19:40,-28.783,32.0377,76.5,82,36,6.02
92,Thompson,CA,2022-11-18 18:15:33,55.7435,-97.8558,12.36,67,100,21.85
93,Biloela,AU,2022-11-18 18:19:53,-24.4167,150.5,61.75,87,0,3.51
94,Avarua,CK,2022-11-18 18:15:29,-21.2078,-159.775,77.05,73,40,10.36
95,Mahebourg,MU,2022-11-18 18:19:53,-20.4081,57.7,70.25,78,40,3.44
96,Razdolinsk,RU,2022-11-18 18:19:54,58.4211,94.6658,-11.65,100,98,0.85
97,Bapatla,IN,2022-11-18 18:19:54,15.9,80.4667,72.48,72,51,5.37
98,Teeli,RU,2022-11-18 18:19:54,51.0333,90.2333,0.03,81,79,3.15
99,Neiafu,TO,2022-11-18 18:19:55,-18.65,-173.9833,66.88,100,20,0.0
100,San Patricio,US,2022-11-18 18:19:55,28.017,-97.5169,59.72,61,100,12.06
101,Yumen,CN,2022-11-18 18:19:55,40.2833,97.2,32.58,28,19,4.74
102,Jiazi,CN,2022-11-18 18:19:56,22.8779,116.067,69.93,87,29,11.01
103,Oksfjord,NO,2022-11-18 18:19:56,70.2396,22.3479,37.58,41,66,7.0
104,Cidreira,BR,2022-11-18 18:19:56,-30.1811,-50.2056,72.75,65,47,15.21
105,Hasaki,JP,2022-11-18 18:19:57,35.7333,140.8333,45.0,76,38,7.96
106,Hilo,US,2022-11-18 18:18:40,19.7297,-155.09,77.11,83,75,5.75
107,Hambantota,LK,2022-11-18 18:19:57,6.1241,81.1185,78.06,80,89,5.21
108,Tamale,GH,2022-11-18 18:19:58,9.4008,-0.8393,85.64,27,8,4.52
109,Puerto Ayora,EC,2022-11-18 18:16:09,-0.7393,-90.3518,78.76,73,54,12.1
110,Kapit,MY,2022-11-18 18:19:58,2.0167,112.9333,73.15,100,100,1.03
111,Bugulma,RU,2022-11-18 18:19:58,54.55,52.8,27.37,97,100,10.07
112,Butaritari,KI,2022-11-18 18:19:59,3.0707,172.7902,80.96,75,12,20.24
113,Hamilton,US,2022-11-18 18:15:57,39.1834,-84.5333,34.99,51,75,19.57
114,Abha,SA,2022-11-18 18:20:00,18.2164,42.5053,60.62,88,36,3.44
115,Fuerte Olimpo,PY,2022-11-18 18:20:00,-21.0415,-57.8738,104.56,12,0,2.82
116,Cherskiy,RU,2022-11-18 18:20:00,68.75,161.3,-36.76,100,23,4.14
117,Kamenka,RU,2022-11-18 18:20:01,51.3223,42.7678,29.37,85,100,14.07
118,Kurilsk,RU,2022-11-18 18:20:01,45.2333,147.8833,36.73,82,100,2.8
119,Bosaso,SO,2022-11-18 18:20:02,11.2842,49.1816,78.78,69,11,4.07
120,Bambous Virieux,MU,2022-11-18 18:20:02,-20.3428,57.7575,70.21,78,40,3.44
121,Presidente Medici,BR,2022-11-18 18:20:02,-11.1753,-61.9014,91.33,51,98,3.27
122,Praia,CV,2022-11-18 18:15:16,14.9215,-23.5087,86.54,39,0,20.71
123,Beringovskiy,RU,2022-11-18 18:20:03,63.05,179.3167,13.82,83,98,4.07
124,Hirara,JP,2022-11-18 18:20:03,24.8,125.2833,77.2,76,2,5.68
125,Korla,CN,2022-11-18 18:20:04,41.7597,86.1469,34.88,33,15,3.33
126,Camalu,MX,2022-11-18 18:20:04,30.85,-116.0667,63.37,40,0,3.89
127,Faanui,PF,2022-11-18 18:20:05,-16.4833,-151.75,80.06,75,80,11.88
128,Millville,US,2022-11-18 18:20:05,39.4021,-75.0393,46.45,40,0,8.05
129,Nouadhibou,MR,2022-11-18 18:20:06,20.931,-17.0347,75.18,57,0,14.97
130,Pevek,RU,2022-11-18 18:20:06,69.7008,170.3133,-21.55,100,82,5.03
131,Sawakin,SD,2022-11-18 18:20:06,19.1059,37.3321,83.21,69,4,9.04
132,Bikin,RU,2022-11-18 18:20:07,46.8161,134.26,21.94,98,79,0.38
133,Dolores,AR,2022-11-18 18:20:07,-36.3132,-57.6792,83.1,40,100,14.58
134,Khatanga,RU,2022-11-18 18:15:10,71.9667,102.5,-23.87,91,87,6.26
135,Chicama,PE,2022-11-18 18:17:21,-7.8447,-79.1469,64.94,60,81,10.02
136,Kirakira,SB,2022-11-18 18:21:08,-10.4544,161.9205,78.13,79,43,2.08
137,Lata,PT,2022-11-18 18:21:08,40.1629,-8.3327,56.8,86,34,5.79
138,Taksimo,RU,2022-11-18 18:21:09,56.3444,114.8794,5.86,90,91,4.07
139,Kahului,US,2022-11-18 18:21:09,20.8947,-156.47,81.84,72,0,5.99
140,Channel-Port Aux Basques,CA,2022-11-18 18:21:09,47.5702,-59.1367,35.89,74,100,29.55
141,Kholodnyy,RU,2022-11-18 18:21:10,62.7167,147.95,-33.88,100,72,1.3
142,Lazurne,UA,2022-11-18 18:21:10,46.084,32.5295,50.7,84,100,17.29
143,Naifaru,MV,2022-11-18 18:21:11,5.4444,73.3657,81.91,74,100,6.87
144,Petropavlovsk-Kamchatskiy,RU,2022-11-18 18:18:08,53.0452,158.6483,9.19,67,0,11.18
145,Longyearbyen,SJ,2022-11-18 18:21:11,78.2186,15.6401,40.84,75,75,24.16
146,Salalah,OM,2022-11-18 18:21:11,17.0151,54.0924,80.69,69,40,5.75
147,Upernavik,GL,2022-11-18 18:18:18,72.7868,-56.1549,7.32,90,49,14.61
148,Guerrero Negro,MX,2022-11-18 18:21:12,27.9769,-114.0611,68.68,38,1,8.12
149,Nanortalik,GL,2022-11-18 18:21:12,60.1432,-45.2371,27.27,88,99,5.99
150,Igrim,RU,2022-11-18 18:21:13,63.1906,64.4162,15.67,77,80,12.5
151,Tual,ID,2022-11-18 18:21:13,-5.6667,132.75,84.54,71,100,7.4
152,Qaanaaq,GL,2022-11-18 18:21:13,77.484,-69.3632,-7.46,56,83,7.58
153,Tuktoyaktuk,CA,2022-11-18 18:21:14,69.4541,-133.0374,19.4,79,75,6.91
154,Kerema,PG,2022-11-18 18:21:14,-7.9631,145.7785,78.33,88,100,3.02
155,Kodiak,US,2022-11-18 18:21:15,57.79,-152.4072,38.71,93,0,4.61
156,Orbetello,IT,2022-11-18 18:21:15,42.4408,11.2196,57.22,69,50,8.88
157,Mar Del Plata,AR,2022-11-18 18:17:38,-38.0023,-57.5575,68.02,91,0,18.41
158,Phan Thiet,VN,2022-11-18 18:21:16,10.9333,108.1,76.51,88,100,5.97
159,Cap-Chat,CA,2022-11-18 18:21:16,49.1001,-66.6821,28.4,74,100,25.32
160,Lac Du Bonnet,CA,2022-11-18 18:21:16,50.2536,-96.0612,13.19,89,100,11.81
161,Shingu,JP,2022-11-18 18:21:17,33.7333,135.9833,49.62,65,0,5.57
162,Vardo,NO,2022-11-18 18:17:39,70.3705,31.1107,33.78,86,20,27.63
163,Bafq,IR,2022-11-18 18:21:17,31.6128,55.4107,63.77,45,98,2.06
164,Ginir,ET,2022-11-18 18:21:18,7.1333,40.7,58.33,71,20,3.09
165,Maine-Soroa,NE,2022-11-18 18:21:18,13.2114,12.0241,78.04,21,3,9.91
166,Ilulissat,GL,2022-11-18 18:21:18,69.2167,-51.1,4.57,88,89,4.47
167,Lazi,UA,2022-11-18 18:21:19,48.0667,24.2333,41.74,99,100,2.08
168,Dongsheng,CN,2022-11-18 18:21:19,39.8161,109.9776,32.7,49,0,11.25
169,Rio Grande,BR,2022-11-18 18:21:19,-32.035,-52.0986,89.71,59,10,13.04
170,Pavlodar,KZ,2022-11-18 18:16:56,52.3,76.95,1.2,78,0,4.47
171,Sangar,RU,2022-11-18 18:21:20,63.9242,127.4739,-21.46,99,100,1.59
172,Georgetown,MY,2022-11-18 18:19:52,5.4112,100.3354,80.53,89,20,2.3
173,Susuman,RU,2022-11-18 18:21:20,62.7833,148.1667,-35.07,100,81,1.66
174,Lavrentiya,RU,2022-11-18 18:21:21,65.5833,-171.0,26.1,96,69,2.57
175,Bethel,US,2022-11-18 18:21:21,41.3712,-73.414,43.47,45,20,12.66
176,Benguela,AO,2022-11-18 18:21:21,-12.5763,13.4055,77.76,70,16,4.5
